20:44:50.237 [default-akka.actor.default-dispatcher-15] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
20:44:50.267 [default-akka.actor.default-dispatcher-15] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
20:50:36.054 [default-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
20:50:36.079 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Starting remoting
20:50:36.327 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
20:50:36.349 [default-akka.actor.default-dispatcher-2] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
20:50:36.431 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
20:50:36.431 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
20:50:36.450 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
20:50:36.545 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
20:50:36.547 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
20:50:36.576 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
20:50:54.207 [default-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
20:50:54.231 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Starting remoting
20:50:54.476 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
20:50:54.498 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
20:50:54.579 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
20:50:54.579 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
20:50:54.598 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
20:50:54.694 [default-akka.actor.default-dispatcher-3] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
20:50:54.696 [default-akka.actor.default-dispatcher-3] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
20:50:54.731 [default-akka.actor.default-dispatcher-3] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
20:51:13.028 [default-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
20:51:13.052 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Starting remoting
20:51:13.302 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
20:51:13.325 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
20:51:13.406 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
20:51:13.406 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
20:51:13.423 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
20:51:13.517 [default-akka.actor.default-dispatcher-3] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
20:51:13.519 [default-akka.actor.default-dispatcher-3] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
20:51:13.549 [default-akka.actor.default-dispatcher-3] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
20:52:44.705 [default-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
20:52:44.730 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Starting remoting
20:52:44.974 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
20:52:44.997 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
20:52:45.078 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
20:52:45.078 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
20:52:45.096 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
20:52:45.193 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
20:52:45.195 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
20:52:45.230 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
20:53:00.538 [default-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
20:53:00.562 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Starting remoting
20:53:00.810 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
20:53:00.833 [default-akka.actor.default-dispatcher-2] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
20:53:00.912 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
20:53:00.913 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
20:53:00.931 [default-akka.actor.default-dispatcher-16] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
20:53:01.026 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
20:53:01.028 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
20:53:01.058 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
21:02:55.637 [default-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
21:02:55.669 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Starting remoting
21:02:56.034 [default-akka.actor.default-dispatcher-3] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
21:02:56.047 [default-akka.actor.default-dispatcher-3] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
21:02:56.171 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
